"YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","DIVERTED","CANCELLED","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY","DURATION","DELAYED","TOTAL"
2015,1,1,4,"AA",196,"N3FBAA","MIA","PHL",600,604,4,18,622,164,174,148,1013,850,8,844,858,14,0,0,"",0,0,0,0,0,254,1,1
2015,1,1,4,"AA",304,"N4XHAA","SLC","DFW",600,601,1,33,634,170,181,137,989,951,11,950,1002,12,0,0,"",0,0,0,0,0,401,1,1
2015,1,1,4,"AA",233,"N3BEAA","BWI","MIA",600,643,43,21,704,163,151,124,946,908,6,843,914,31,0,0,"",0,0,31,0,0,271,1,1
2015,1,1,4,"AA",1028,"N3BFAA","DEN","ORD",600,601,1,14,615,155,127,106,888,901,7,935,908,-27,0,0,"",0,0,0,0,0,307,1,1
2015,1,1,4,"AA",1039,"N541AA","MCI","DFW",600,606,6,13,619,105,102,80,460,739,9,745,748,3,0,0,"",0,0,0,0,0,142,1,1
2015,1,1,4,"AA",1297,"N3JYAA","LGA","MIA",600,708,68,17,725,192,174,151,1096,956,6,912,1002,50,0,0,"",0,0,50,0,0,294,1,1
2015,1,1,4,"AA",1660,"N567AA","SMF","DFW",600,611,11,29,640,210,230,190,1431,1150,11,1130,1201,31,0,0,"",20,0,11,0,0,590,1,1
2015,1,1,4,"AA",2363,"N560AA","OKC","DFW",600,610,10,42,652,65,85,39,175,731,4,705,735,30,0,0,"",20,0,10,0,0,125,1,1
2015,1,1,4,"B6",838,"N715JB","BQN","JFK",600,601,1,11,612,232,246,225,1576,857,10,852,907,15,0,0,"",14,0,1,0,0,306,1,1
2015,1,1,4,"DL",421,"N967DL","JFK","ATL",600,605,5,18,623,163,139,117,760,820,4,843,824,-19,0,0,"",0,0,0,0,0,219,1,1
2015,1,1,4,"DL",731,"N323NB","LGA","DTW",600,604,4,10,614,118,113,97,502,751,6,758,757,-1,0,0,"",0,0,0,0,0,153,1,1
2015,1,1,4,"DL",904,"N3748Y","LGA","ATL",600,601,1,11,612,159,126,111,762,803,4,839,807,-32,0,0,"",0,0,0,0,0,206,1,1
2015,1,1,4,"DL",977,"N988DL","ORD","ATL",600,602,2,19,621,127,104,80,606,841,5,907,846,-21,0,0,"",0,0,0,0,0,244,1,1
2015,1,1,4,"DL",1098,"N966AT","ATW","ATL",600,601,1,9,610,143,110,97,765,847,4,923,851,-32,0,0,"",0,0,0,0,0,250,1,1
2015,1,1,4,"DL",1205,"N612DL","PHX","ATL",600,804,124,16,820,207,190,169,1587,1309,5,1127,1314,107,0,0,"",0,0,0,0,107,510,1,1
2015,1,1,4,"AA",913,"N3JVAA","DCA","MIA",600,605,5,12,617,157,151,130,919,827,9,837,836,-1,0,0,"",0,0,0,0,0,231,1,1
2015,1,1,4,"DL",1700,"N952DL","MEM","ATL",600,617,17,10,627,82,59,45,332,812,4,822,816,-6,0,0,"",0,0,0,0,0,199,1,1
2015,1,1,4,"B6",1502,"N535JB","FLL","JFK",600,610,10,13,623,163,170,146,1069,849,11,843,900,17,0,0,"",7,0,10,0,0,290,1,1
2015,1,1,4,"B6",1504,"N640JB","SJU","JFK",600,627,27,17,644,242,274,248,1598,952,9,902,1001,59,0,0,"",32,0,27,0,0,374,1,1
2015,1,1,4,"EV",4431,"N14158","SAV","EWR",600,726,86,18,744,126,125,98,708,922,9,806,931,85,0,0,"",85,0,0,0,0,205,1,1
2015,1,1,4,"EV",5978,"N21129","FAR","ORD",600,603,3,37,640,123,120,78,557,758,5,803,803,0,0,0,"",0,0,0,0,0,200,1,1
2015,1,1,4,"EV",6133,"N12996","ERI","ORD",600,616,16,11,627,92,95,79,398,646,5,632,651,19,0,0,"",3,0,16,0,0,35,1,1
2015,1,1,4,"F9",144,"N924FR","SEA","DEN",600,605,5,10,615,153,148,131,1024,926,7,933,933,0,0,0,"",0,0,0,0,0,328,1,1
2015,1,1,4,"F9",902,"N949FR","ATL","TTN",600,619,19,11,630,110,115,98,701,808,6,750,814,24,0,0,"",5,0,19,0,0,195,1,1
2015,1,1,4,"NK",943,"N605NK","ACY","RSW",600,742,102,10,752,171,155,141,982,1013,4,851,1017,86,0,0,"",86,0,0,0,0,275,1,1
2015,1,1,4,"NK",972,"N606NK","DFW","FLL",600,603,3,56,659,159,191,131,1119,1010,4,939,1014,35,0,0,"",35,0,0,0,0,411,1,1
2015,1,1,4,"OO",6369,"N763SK","TUS","SFO",600,604,4,22,626,134,136,108,751,714,6,714,720,6,0,0,"",0,0,0,0,0,116,1,1
2015,1,1,4,"OO",5242,"N744SK","BOI","LAX",600,639,39,24,703,130,121,89,674,732,8,710,740,30,0,0,"",0,0,30,0,0,101,1,1
2015,1,1,4,"OO",5462,"N929EV","SPI","ORD",600,604,4,20,624,64,65,39,174,703,6,704,709,5,0,0,"",0,0,0,0,0,105,1,1
2015,1,1,4,"OO",5466,"N568SW","CLD","LAX",600,654,54,48,742,51,85,24,86,806,13,651,819,88,0,0,"",34,0,0,0,54,165,1,1
2015,1,1,4,"OO",5522,"N796SK","PSC","DEN",600,601,1,22,623,142,145,115,852,918,8,922,926,4,0,0,"",0,0,0,0,0,325,1,1
2015,1,1,4,"OO",5592,"N494CA","CPR","DEN",600,604,4,31,635,72,77,39,230,714,7,712,721,9,0,0,"",0,0,0,0,0,117,1,1
2015,1,1,4,"OO",5170,"N791SK","DAL","IAH",600,622,22,12,634,68,58,41,216,715,5,708,720,12,0,0,"",0,0,0,0,0,98,1,1
2015,1,1,4,"OO",6378,"N767SK","CID","ORD",600,610,10,8,618,68,57,43,196,701,6,708,707,-1,0,0,"",0,0,0,0,0,97,1,1
2015,1,1,4,"OO",6465,"N495CA","SLC","LAX",600,604,4,32,636,132,122,85,590,701,5,712,706,-6,0,0,"",0,0,0,0,0,102,1,1
2015,1,1,4,"UA",1689,"N39461","EWR","SFO",601,602,1,11,613,399,378,355,2565,908,12,940,920,-20,0,0,"",0,0,0,0,0,318,1,1
2015,1,1,4,"OO",5629,"N726SK","PSP","SFO",601,632,31,11,643,94,80,65,421,748,4,735,752,17,0,0,"",0,0,0,0,17,120,1,1
2015,1,1,4,"OO",6420,"N924SW","PSP","DEN",601,812,131,8,820,131,144,107,776,1107,29,912,1136,144,0,0,"",13,0,0,0,131,324,1,1
2015,1,1,4,"UA",223,"N816UA","SAT","IAH",602,610,8,14,624,58,50,31,191,655,5,700,700,0,0,0,"",0,0,0,0,0,90,1,1
2015,1,1,4,"EV",5732,"N833AS","CAE","IAD",603,605,2,21,626,82,87,62,401,728,4,725,732,7,0,0,"",0,0,0,0,0,127,1,1
2015,1,1,4,"UA",234,"N838UA","SMF","IAH",605,613,8,29,642,216,227,193,1609,1155,5,1141,1200,19,0,0,"",11,0,8,0,0,587,1,1
