"Group.1","DISTANCE","DELAYED","TOTAL"
"SAV",4126136,2770,7542
"SBA",2411587,1477,6017
"SBN",1376144,1317,4454
"SBP",777311,817,3133
"SCC",254367,230,855
"SCE",436591,235,911
"SDF",5556770,3291,10204
"SEA",140583585,40881,110899
"SFO",177271780,58755,148008
"SGF",2873273,1806,6236
"SGU",626914,425,1777
"SHV",2084336,1796,6099
"SIT",421918,317,1342
"SJC",27826807,13797,38200
"SJT",372812,440,1628
"SJU",34149224,9208,24656
"SLC",71747762,27407,97210
"SMF",25646773,14421,37212
"SMX",123006,158,664
"SNA",29668106,13661,37187
"SPI",544722,384,1587
"SPS",139442,326,1234
"SRQ",2391717,1103,3370
"STC",32702,28,83
"STL",33640693,18261,46963
"STT",5261480,1533,4348
"STX",752067,348,939
"SUN",312442,201,956
"SUX",270320,155,620
"SWF",719217,209,695
"SYR",3048382,1364,5608
"TLH",1148279,800,3194
"TOL",204906,170,962
"TPA",55167019,23364,63906
"TRI",437656,490,1928
"TTN",2120599,973,2830
"TUL",7082395,4299,13970
"TUS",10644411,4179,15117
"TVC",670631,622,2756
"TWF",142625,137,815
"TXK",177018,242,978
"TYR",276568,617,2300
"TYS",3717083,2270,6963
"UST",123726,71,155
"VEL",27192,10,206
"VLD",194480,208,935
"VPS",2155247,1358,4868
"WRG",37516,194,664
"WYS",56784,41,208
"XNA",4912434,2783,9283
"YAK",136342,128,662
"YUM",300320,339,1877
